Entity,Code,Year,Plastic,GDP,Population,Continent
Albania,ALB,2010,0.069,10749.48745,2948029,
Algeria,DZA,2010,0.144,10970.70637,35977451,
Angola,AGO,2010,0.062,7692.434286,23356247,
Anguilla,AIA,2010,0.252,,13436,
Antigua and Barbuda,ATG,2010,0.66,18205.73853,88030,
Argentina,ARG,2010,0.183,23521.27018,40895751,
Aruba,ABW,2010,0.252,34343.15132,101665,
Australia,AUS,2010,0.112,44991.78371,22154687,
Bahamas,BHS,2010,0.39,36504.40705,354936,
Bahrain,BHR,2010,0.132,44599.80497,1240864,
Bangladesh,BGD,2010,0.034,2883.466794,147575433,
Barbados,BRB,2010,0.57,15596.61681,282131,
Belgium,BEL,2010,0.08,47971.63031,10938735,
Belize,BLZ,2010,0.172,7294.684143,322465,
Benin,BEN,2010,0.043,2704.705484,9199254,
Bermuda,BMU,2010,0.252,88399.91595,65388,
Bosnia and Herzegovina,BIH,2010,0.144,10938.28505,3705478,
Brazil,BRA,2010,0.165,14873.20832,195713637,
British Virgin Islands,VGB,2010,0.252,,27796,
Brunei,BRN,2010,0.026,67753.42177,388634,
Bulgaria,BGR,2010,0.154,17440.67188,7425011,
Cambodia,KHM,2010,0.066,2716.699738,14312205,
Cameroon,CMR,2010,0.046,3086.221474,20341236,
Canada,CAN,2010,0.093,44861.52396,34147566,
Cape Verde,CPV,2010,0.065,6200.343537,492644,
Cayman Islands,CYM,2010,0.252,66882.50759,56672,
Channel Islands,OWID_CIS,2010,0.252,,159718,
Chile,CHL,2010,0.119,21262.46699,17062531,
China,CHN,2010,0.121,8884.588031,1368810604,
Christmas Island,CXR,2010,0.252,,,
Cocos Islands,CCK,2010,0.252,,,
Colombia,COL,2010,0.144,11783.29991,45222699,
Comoros,COM,2010,0.201,2878.26971,689696,
Congo,COG,2010,0.069,5172.760902,4273738,
Cook Islands,COK,2010,0.144,,18392,
Costa Rica,CRI,2010,0.258,16830.43618,4577371,
Cote d'Ivoire,CIV,2010,0.103,3660.903847,20532944,
Croatia,HRV,2010,0.252,24280.60269,4328163,
Cuba,CUB,2010,0.089,,11225833,
Curacao,CUW,2010,0.252,28543.36071,149188,
Cyprus,CYP,2010,0.248,38379.0904,1112617,
Democratic Republic of Congo,COD,2010,0.045,865.6840402,64563853,
Denmark,DNK,2010,0.047,50825.41229,5554849,
Djibouti,DJI,2010,0.103,,840194,
Dominica,DMA,2010,0.149,12003.76608,70877,
Dominican Republic,DOM,2010,0.144,12782.45717,9695117,
Ecuador,ECU,2010,0.147,10340.9703,15011114,
Egypt,EGY,2010,0.178,10340.07323,82761244,
El Salvador,SLV,2010,0.147,7328.71991,6183877,
Equatorial Guinea,GNQ,2010,0.144,34732.21915,943640,
Eritrea,ERI,2010,0.045,,3170437,
Estonia,EST,2010,0.176,26133.38181,1332103,
Faeroe Islands,FRO,2010,0.252,,47803,
Falkland Islands,FLK,2010,0.252,,2902,
Fiji,FJI,2010,0.189,10547.9304,859816,
Finland,FIN,2010,0.234,45874.6613,5365784,
France,FRA,2010,0.192,42147.67168,62879535,
French Guiana,GUF,2010,0.144,,232996,
French Polynesia,PYF,2010,0.252,,266449,
Gabon,GAB,2010,0.054,14415.44591,1624146,
Gambia,GMB,2010,0.048,2346.720479,1793199,
Georgia,GEO,2010,0.068,9736.732094,4099095,
Germany,DEU,2010,0.485,46929.99341,80827001,
Ghana,GHA,2010,0.04,3729.475903,24779614,
Gibraltar,GIB,2010,0.252,,33585,
Greece,GRC,2010,0.2,33753.61775,10887640,
Greenland,GRL,2010,0.252,,56638,
Grenada,GRD,2010,0.325,13412.79337,106227,
Guadeloupe,GLP,2010,0.144,,406073,
Guam,GUM,2010,0.252,,159439,
Guatemala,GTM,2010,0.28,7335.988974,14630420,
Guernsey,GGY,2010,0.252,,,
Guinea,GIN,2010,0.03,1870.800051,10192168,
Guinea-Bissau,GNB,2010,0.054,1747.237485,1522603,
Guyana,GUY,2010,0.586,9789.0167,749430,
Haiti,HTI,2010,0.09,2735.283617,9949318,
Honduras,HND,2010,0.189,4866.973931,8317467,
Hong Kong,HKG,2010,0.398,51360.96698,6966324,
Iceland,ISL,2010,0.281,47457.62292,320342,
India,IND,2010,0.01,4234.979573,1234281163,
Indonesia,IDN,2010,0.057,8286.73287,241834226,
Iran,IRN,2010,0.144,13805.70382,73762519,
Iraq,IRQ,2010,0.103,8748.508776,29741977,
Ireland,IRL,2010,0.43,53725.0336,4554330,
Israel,ISR,2010,0.297,34800.24747,7346446,
Italy,ITA,2010,0.134,42664.35527,59325232,
Jamaica,JAM,2010,0.034,9435.760842,2810464,
Japan,JPN,2010,0.171,37586.16715,128542349,
