Continent,Code,Entity,Year,Plastic,GDP,Population
Europe,ALB,Albania,2010,0.069,10749.48745,2948029
Africa,DZA,Algeria,2010,0.144,10970.70637,35977451
Africa,AGO,Angola,2010,0.062,7692.434286,23356247
North America,ATG,Antigua and Barbuda,2010,0.66,18205.73853,88030
South America,ARG,Argentina,2010,0.183,23521.27018,40895751
Oceania,AUS,Australia,2010,0.112,44991.78371,22154687
North America,BHS,Bahamas,2010,0.39,36504.40705,354936
Asia,BHR,Bahrain,2010,0.132,44599.80497,1240864
Asia,BGD,Bangladesh,2010,0.034,2883.466794,147575433
North America,BRB,Barbados,2010,0.57,15596.61681,282131
Europe,BEL,Belgium,2010,0.08,47971.63031,10938735
North America,BMU,Bermuda,2010,0.252,88399.91595,65388
Europe,BIH,Bosnia and Herzegovina,2010,0.144,10938.28505,3705478
South America,BRA,Brazil,2010,0.165,14873.20832,195713637
North America,BLZ,Belize,2010,0.172,7294.684143,322465
Oceania,SLB,Solomon Islands,2010,0.103,2439.862325,527861
Asia,BRN,Brunei,2010,0.026,67753.42177,388634
Europe,BGR,Bulgaria,2010,0.154,17440.67188,7425011
Asia,MMR,Myanmar,2010,0.075,3129.920255,50600827
Asia,KHM,Cambodia,2010,0.066,2716.699738,14312205
Africa,CMR,Cameroon,2010,0.046,3086.221474,20341236
North America,CAN,Canada,2010,0.093,44861.52396,34147566
Africa,CPV,Cape Verde,2010,0.065,6200.343537,492644
North America,CYM,Cayman Islands,2010,0.252,66882.50759,56672
Asia,LKA,Sri Lanka,2010,0.357,9126.865612,20261738
South America,CHL,Chile,2010,0.119,21262.46699,17062531
Asia,CHN,China,2010,0.121,8884.588031,1368810604
South America,COL,Colombia,2010,0.144,11783.29991,45222699
Africa,COM,Comoros,2010,0.201,2878.26971,689696
Africa,COG,Congo,2010,0.069,5172.760902,4273738
Africa,COD,Democratic Republic of Congo,2010,0.045,865.6840402,64563853
North America,CRI,Costa Rica,2010,0.258,16830.43618,4577371
Europe,HRV,Croatia,2010,0.252,24280.60269,4328163
Europe,CYP,Cyprus,2010,0.248,38379.0904,1112617
Asia,CYP,Cyprus,2010,0.248,38379.0904,1112617
Africa,BEN,Benin,2010,0.043,2704.705484,9199254
Europe,DNK,Denmark,2010,0.047,50825.41229,5554849
North America,DMA,Dominica,2010,0.149,12003.76608,70877
North America,DOM,Dominican Republic,2010,0.144,12782.45717,9695117
South America,ECU,Ecuador,2010,0.147,10340.9703,15011114
North America,SLV,El Salvador,2010,0.147,7328.71991,6183877
Africa,GNQ,Equatorial Guinea,2010,0.144,34732.21915,943640
Europe,EST,Estonia,2010,0.176,26133.38181,1332103
Oceania,FJI,Fiji,2010,0.189,10547.9304,859816
Europe,FIN,Finland,2010,0.234,45874.6613,5365784
Europe,FRA,France,2010,0.192,42147.67168,62879535
Africa,GAB,Gabon,2010,0.054,14415.44591,1624146
Europe,GEO,Georgia,2010,0.068,9736.732094,4099095
Asia,GEO,Georgia,2010,0.068,9736.732094,4099095
Africa,GMB,Gambia,2010,0.048,2346.720479,1793199
Asia,PSE,Palestine,2010,0.063,5411.066482,4055632
Europe,DEU,Germany,2010,0.485,46929.99341,80827001
Africa,GHA,Ghana,2010,0.04,3729.475903,24779614
Oceania,KIR,Kiribati,2010,0.103,1923.107776,102930
Europe,GRC,Greece,2010,0.2,33753.61775,10887640
North America,GRD,Grenada,2010,0.325,13412.79337,106227
North America,GTM,Guatemala,2010,0.28,7335.988974,14630420
Africa,GIN,Guinea,2010,0.03,1870.800051,10192168
South America,GUY,Guyana,2010,0.586,9789.0167,749430
North America,HTI,Haiti,2010,0.09,2735.283617,9949318
North America,HND,Honduras,2010,0.189,4866.973931,8317467
Asia,HKG,Hong Kong,2010,0.398,51360.96698,6966324
Europe,ISL,Iceland,2010,0.281,47457.62292,320342
Asia,IND,India,2010,0.01,4234.979573,1234281163
Asia,IDN,Indonesia,2010,0.057,8286.73287,241834226
Asia,IRN,Iran,2010,0.144,13805.70382,73762519
Asia,IRQ,Iraq,2010,0.103,8748.508776,29741977
Europe,IRL,Ireland,2010,0.43,53725.0336,4554330
Asia,ISR,Israel,2010,0.297,34800.24747,7346446
Europe,ITA,Italy,2010,0.134,42664.35527,59325232
Africa,CIV,Cote d'Ivoire,2010,0.103,3660.903847,20532944
North America,JAM,Jamaica,2010,0.034,9435.760842,2810464
Asia,JPN,Japan,2010,0.171,37586.16715,128542349
Asia,JOR,Jordan,2010,0.144,11315.5027,7261541
Africa,KEN,Kenya,2010,0.027,3329.853752,42030684
Asia,KOR,South Korea,2010,0.112,34394.49049,49545638
Asia,KWT,Kuwait,2010,0.686,58810.40487,2991884
Asia,LBN,Lebanon,2010,0.094,19499.1728,4953064
Europe,LVA,Latvia,2010,0.124,21023.90133,2118855
Africa,LBR,Liberia,2010,0.084,1420.046246,3891357
Africa,LBY,Libya,2010,0.144,22539.89276,6197667
Europe,LTU,Lithuania,2010,0.132,23942.76036,3123825
Asia,MAC,Macao,2010,0.368,118085.4875,538215
Africa,MDG,Madagascar,2010,0.016,1553.404722,21151640
Asia,MYS,Malaysia,2010,0.198,20536.37251,28208028
Asia,MDV,Maldives,2010,0.322,16305.79888,365730
Europe,MLT,Malta,2010,0.214,32867.94003,414257
Africa,MRT,Mauritania,2010,0.045,4767.377366,3494200
Africa,MUS,Mauritius,2010,0.23,16797.81724,1247953
North America,MEX,Mexico,2010,0.087,17790.01192,114092961
Europe,MNE,Montenegro,2010,0.144,16764.36237,624279
Africa,MAR,Morocco,2010,0.073,6281.464191,32343384
Africa,MOZ,Mozambique,2010,0.015,1027.208877,23531567
Asia,OMN,Oman,2010,0.084,33864.98374,3041435
Africa,NAM,Namibia,2010,0.144,9031.160594,2118877
Oceania,NRU,Nauru,2010,0.144,6688.649739,10009
Europe,NLD,Netherlands,2010,0.424,52032.9865,16682927
North America,CUW,Curacao,2010,0.252,28543.36071,149188
North America,ABW,Aruba,2010,0.252,34343.15132,101665
North America,SXM,Sint Maarten (Dutch part),2010,0.252,43543.88976,34166
Oceania,VUT,Vanuatu,2010,0.295,3088.978879,236216
Oceania,NZL,New Zealand,2010,0.331,37657.1432,4370060
North America,NIC,Nicaragua,2010,0.143,4611.785692,5824058
Africa,NGA,Nigeria,2010,0.103,4932.3348,158503203
Europe,NOR,Norway,2010,0.28,61353.49639,4885878
Oceania,FSM,Micronesia (country),2010,0.103,3659.638766,102916
Oceania,MHL,Marshall Islands,2010,0.192,3595.174776,56361
Oceania,PLW,Palau,2010,0.144,15062.49579,17954
Asia,PAK,Pakistan,2010,0.103,3906.873971,179424643
North America,PAN,Panama,2010,0.145,21343.30499,3642691
Oceania,PNG,Papua New Guinea,2010,0.103,3406.64404,7310512
South America,PER,Peru,2010,0.144,10066.46757,29027680
Asia,PHL,Philippines,2010,0.075,5918.373229,93966784
Europe,POL,Poland,2010,0.097,23996.13978,38329784
Europe,PRT,Portugal,2010,0.265,31798.15381,10596055
Africa,GNB,Guinea-Bissau,2010,0.054,1747.237485,1522603
North America,PRI,Puerto Rico,2010,0.252,32960.69111,3579842
Asia,QAT,Qatar,2010,0.16,95908.31282,1856329
Europe,ROU,Romania,2010,0.042,20303.1628,20471860
Europe,RUS,Russia,2010,0.112,23961.22029,143479273
Asia,RUS,Russia,2010,0.112,23961.22029,143479273
North America,KNA,Saint Kitts and Nevis,2010,0.654,23710.3475,49011
North America,LCA,Saint Lucia,2010,0.522,14109.41343,174092
North America,VCT,Saint Vincent and the Grenadines,2010,0.221,11447.46662,108260
Africa,STP,Sao Tome and Principe,2010,0.103,3357.470193,180372
Asia,SAU,Saudi Arabia,2010,0.156,44036.76735,27421468
Africa,SEN,Senegal,2010,0.103,2797.11016,12678143
Africa,SYC,Seychelles,2010,0.358,20892.69175,91273
Africa,SLE,Sierra Leone,2010,0.041,1413.563736,6415636
Asia,SGP,Singapore,2010,0.194,78294.03142,5131170
Asia,VNM,Vietnam,2010,0.103,5089.411016,87967655
Europe,SVN,Slovenia,2010,0.145,33355.84763,2043336
Africa,ZAF,South Africa,2010,0.24,12452.33753,51216967
Europe,ESP,Spain,2010,0.277,37319.47622,46931011
Africa,SDN,Sudan,2010,0.103,3089.572476,34545014
South America,SUR,Suriname,2010,0.163,18840.36897,529126
Europe,SWE,Sweden,2010,0.048,47791.37152,9390157
Asia,THA,Thailand,2010,0.144,14399.04451,67195032
Africa,TGO,Togo,2010,0.057,1625.545446,6421674
Oceania,TON,Tonga,2010,0.223,5166.932054,103981
North America,TTO,Trinidad and Tobago,2010,0.29,28879.28737,1328144
Asia,ARE,United Arab Emirates,2010,0.199,54921.77558,8549998
Africa,TUN,Tunisia,2010,0.144,10113.37035,10635245
Europe,TUR,Turkey,2010,0.212,20027.66683,72326992
Asia,TUR,Turkey,2010,0.212,20027.66683,72326992
Oceania,TUV,Tuvalu,2010,0.144,3281.502177,10521
